policy,num_episodes,mean_reward,std_reward,mean_revenue,std_revenue,median_revenue,mean_sell_through_pct,mean_spoilage_pct,mean_price,mean_discount_depth_pct,revenue_uplift_pct,meets_revenue_uplift_target,meets_sell_through_target,meets_spoilage_target
dqn,1000,1502840.640296398,332211.8747334498,1608924.8118016634,246662.28316584945,1657136.3379591168,95.337,4.663,20152.305579499378,9.872334558550387,-13.762703029803,False,True,True
q_learning,1000,1276571.4966002172,370739.57651297824,1391544.4324986916,273761.59955031803,1398924.3432664857,98.219,1.781,16223.239485408749,22.446875583034824,-25.414146396166693,False,True,True
random,1000,1038249.3540739825,691959.1266696991,1357007.3512852092,327621.60172982444,1395437.636780919,84.842,15.158,19360.793387744812,16.149519143935013,-27.265310917494272,False,False,False
fixed_price,1000,1875536.081316667,162683.91839760198,1865694.854,81251.11902659977,1907800.0,97.793,2.207,19078.0,0.0,0.0,False,True,True
time_based_discount,1000,1108799.210916521,331097.08625702065,1231777.5847313327,236217.98053340742,1249968.2642393159,100.0,0.0,13315.683502464231,30.20398625398767,-33.977542892910144,False,True,True
