metric,Q-Learning,DQN
Average Reward,14494.250719587384,15384.105399520578
Average Revenue,15892.140021603815,16076.100341005586
Inventory Utilization (%),94.16500329971313,97.78000116348267
Early Training Avg Reward (first 100 ep),11283.412500919763,13058.461206262724
Late Training Avg Reward (last 100 ep),12954.975087635275,15763.14272609251
"Reward Std Dev (last 100 ep, stability)",5872.319051800039,4180.397902405149
Best Episode Reward,22031.168431183207,22349.60277412329
States Learned (Q-table) / Parameters (DQN),1903,17799
