policy_a,policy_b,metric,n_paired_episodes,mean_a,mean_b,mean_diff_a_minus_b,paired_t_statistic,paired_t_pvalue,wilcoxon_statistic,wilcoxon_pvalue,cohens_d,significant_at_alpha,alpha
dqn,fixed_price,final_revenue,1000,1608924.8118016634,1865694.854,-256770.0421983366,-34.345211954804405,2.5052045383738206e-171,14311.0,4.474859983780187e-147,-1.0860909649842592,True,0.05
q_learning,fixed_price,final_revenue,1000,1391544.4324986916,1865694.854,-474150.42150130856,-54.28798764310065,2.8680252244663655e-300,590.0,1.9513609698373383e-164,-1.7167369053927424,True,0.05
random,fixed_price,final_revenue,1000,1357007.3512852092,1865694.854,-508687.5027147908,-48.895263277413136,2.7675884832373795e-267,2268.0,2.9236582871694953e-162,-1.5462039875021487,True,0.05
time_based_discount,fixed_price,final_revenue,1000,1231777.5847313327,1865694.854,-633917.269268667,-83.33197519183598,0.0,0.0,3.325859118934513e-165,-2.6351884352684856,True,0.05
