rank,policy,avg_reward,reward_difference,avg_revenue,revenue_difference,inventory_sold,sell_through_rate
1,Fixed Price Policy,19627.346666666668,0.0,19542.0,0.0,97.71,97.71
2,DQN,15911.63317675917,-3715.713489907499,16331.254080709536,-3210.7459192904644,99.76,99.76
3,Q-Learning,13890.761426852905,-5736.585239813763,15387.239922640452,-4154.760077359548,94.65,94.65
4,Random Policy,8442.22248901859,-11185.124177648078,13332.178798225885,-6209.821201774115,76.99,76.99
5,Discount Policy,-3291.1745157139007,-22918.52118238057,3557.1397405863363,-15984.860259413665,100.0,100.0
