policy,avg_episode_reward,avg_revenue,avg_inventory_sold,avg_unsold_inventory,avg_selling_price
DQN Agent,18143.92535364674,18235.487736320552,99.01,0.99,201.03400131305975
Q-Learning Agent,14933.72956966455,15857.597981962523,97.02,2.98,178.73786045715025
Fixed Price Policy,19807.459999999995,19632.0,98.16,1.84,200.0
Daily Discount Policy,-3333.700771211869,3529.733341283352,100.0,0.0,42.446159520929385
Random Policy,10092.562223066112,13957.21562703626,82.0,18.0,212.2046182292941
