policy,seed,total_reward,final_revenue,units_sold,initial_inventory,sell_through_pct,spoilage_pct,mean_price,mean_discount_depth_pct,steps
dqn,5000001,1836817.5725486479,1844537.9908501417,100,100,100.0,0.0,20613.22723025951,8.941483194077083,30
dqn,5000002,1753340.0997991434,1721982.1878000004,100,100,100.0,0.0,17884.33042142857,6.25678571428571,28
dqn,5000003,1741897.8646240002,1721446.0960000001,100,100,100.0,0.0,18020.157793103448,5.544827586206895,29
dqn,5000004,1830382.6196361156,1788028.6975599998,100,100,100.0,0.0,18328.36946172414,3.9292931034482734,29
dqn,5000005,1673417.2970895933,1675880.7999545299,100,100,100.0,0.0,18519.800862404092,9.947861454479302,29
dqn,5000006,1701137.4016312708,1684856.0182400006,100,100,100.0,0.0,17656.017980689656,7.4535172413793065,29
dqn,5000007,1971813.049333333,1917434.39,100,100,100.0,0.0,19174.979833333335,0.0,30
dqn,5000008,1798348.7197828603,1758507.0188,100,100,100.0,0.0,18068.20146,5.292999999999997,30
dqn,5000009,2303630.8287451523,2247884.9127451526,100,100,100.0,0.0,22586.476474113493,0.0,30
dqn,5000010,1848043.4389989004,1859731.4391858843,97,100,97.0,3.0,20242.015656351094,2.1952829889999967,30
dqn,5000011,1815555.881584204,1876200.6030330001,94,100,94.0,6.0,20163.3579129,0.8322366666666642,30
dqn,5000012,1945846.3015000003,1910189.5195,99,100,99.0,1.0,19307.01549166667,0.0,30
dqn,5000013,1567024.9427139421,1571586.2692640005,100,100,100.0,0.0,16936.08841114286,11.227128571428567,28
dqn,5000014,2083341.783453147,2030858.205453147,100,100,100.0,0.0,20411.199796164223,0.0,29
dqn,5000015,1406821.1871031306,1497438.6967520637,100,100,100.0,0.0,17408.28393370515,14.966335542857138,28
dqn,5000016,1465672.8255658932,1490070.2487360002,100,100,100.0,0.0,16434.86062048,13.854383999999994,25
dqn,5000017,1625164.2590233604,1632649.4527999999,100,100,100.0,0.0,17267.87936,9.487999999999998,30
dqn,5000018,1716781.58172256,1736145.2060433566,99,100,99.0,1.0,19208.563675491245,6.7635385618666595,30
dqn,5000019,1520030.960285094,1554835.7310257738,100,100,100.0,0.0,19064.283006295427,13.813719267511296,27
dqn,5000020,1800301.6703500003,1860321.05835,94,100,94.0,6.0,19960.45686458334,0.0,30
dqn,5000021,1561804.7750432345,1585201.7036800003,100,100,100.0,0.0,17419.63122285714,8.692571428571426,28
dqn,5000022,1994563.8028083341,1938735.215475,100,100,100.0,0.0,19412.26643291667,0.0,30
dqn,5000023,1673446.5607024897,1771446.6007575002,92,100,92.0,8.0,19531.765460500003,0.0919833333333319,30
dqn,5000024,1680346.8467207942,1667325.9314203402,100,100,100.0,0.0,17936.553981732675,10.933048633333327,30
dqn,5000025,1964200.9273333328,1910661.7,100,100,100.0,0.0,19109.79666666667,0.0,30
dqn,5000026,1753625.7471573332,1726787.936,100,100,100.0,0.0,17902.7952,6.159999999999998,30
dqn,5000027,1998181.4685583329,1946607.2752250002,100,100,100.0,0.0,19423.792861637932,0.0,29
dqn,5000028,1612452.5967808,1626208.7200000002,100,100,100.0,0.0,17442.291751724137,8.573793103448276,29
dqn,5000029,1654913.866200412,1648371.25104,100,100,100.0,0.0,17605.23290857143,7.719714285714282,28
dqn,5000030,1838064.9106884557,1865275.6117140087,100,100,100.0,0.0,21751.431712509526,10.765520542605417,29
dqn,5000031,1752663.3103882663,1735182.2559999998,100,100,100.0,0.0,18521.740028571436,6.308571428571426,28
dqn,5000032,1815977.5859999994,1837306.79,96,100,96.0,4.0,19174.979833333335,0.0,30
dqn,5000033,1020091.1153455453,1198451.6574054402,100,100,100.0,0.0,14990.393037587693,21.425762461538454,26
dqn,5000034,1745633.5353003603,1809848.9616750327,94,100,94.0,6.0,19992.514375125513,1.5206994066666637,30
dqn,5000035,1930928.6430466569,1970744.4290466565,95,100,95.0,5.0,20948.65734983021,0.0,30
dqn,5000036,1552417.753333632,1623299.2380983764,100,100,100.0,0.0,19676.463753829827,10.986844580471267,29
dqn,5000037,1321952.3650643486,1386299.9182518404,100,100,100.0,0.0,15810.216962695384,17.128540923076923,26
dqn,5000038,1579912.1549492667,1583437.5991759999,100,100,100.0,0.0,16963.342696857148,11.084271428571425,28
dqn,5000039,1897412.1742383554,1932342.5692844805,96,100,96.0,4.0,21185.94079231536,2.6755732665999967,30
dqn,5000040,1081198.7385829727,1244728.0215500721,100,100,100.0,0.0,15519.384143444957,23.39372248177777,27
dqn,5000041,1747122.3286280532,1732648.6976,100,100,100.0,0.0,18117.486293333335,5.0346666666666655,30
dqn,5000042,2024975.5040522914,1970552.3293856252,100,100,100.0,0.0,19651.55642122917,0.0,30
dqn,5000043,1979116.712168094,2000541.306168094,96,100,96.0,4.0,21107.90457562396,0.0,30
dqn,5000044,1948838.0354297878,1902253.0953475004,100,100,100.0,0.0,19661.943682482142,2.469624999999997,28
dqn,5000045,883546.8352357146,1093772.1549107204,100,100,100.0,0.0,14123.958329895384,25.96730092307692,26
dqn,5000046,2020392.690231459,1966586.3708981252,100,100,100.0,0.0,19619.759754562503,0.0,30
dqn,5000047,1688369.9984657809,1714078.5392252982,100,100,100.0,0.0,19441.137866904417,10.129204815999989,28
dqn,5000048,1828512.2406070398,1906496.7452737065,93,100,93.0,7.0,20935.186157415425,0.0,30
dqn,5000049,1222549.7305845402,1355097.2159281739,100,100,100.0,0.0,16359.20729961516,19.92057429851428,28
dqn,5000050,1987648.58425,1935279.4742500002,100,100,100.0,0.0,19282.01947413793,0.0,29
dqn,5000051,1868083.4196,1824619.9200000002,100,100,100.0,0.0,18709.597241379313,1.9310344827586197,29
dqn,5000052,1856690.0379999997,1842934.8,98,100,98.0,2.0,18950.813333333335,0.6666666666666664,30
dqn,5000053,1970390.4496022114,1949245.344924711,99,100,99.0,1.0,21010.092307871302,3.938974310266661,30
dqn,5000054,1815569.957655219,1789066.25459,99,100,99.0,1.0,18582.293146333333,2.5983166666666646,30
dqn,5000055,2064683.6046661907,2009686.1686985001,100,100,100.0,0.0,20571.322659816666,0.45991666666665953,30
dqn,5000056,1878237.4850244436,1937481.0343577769,94,100,94.0,6.0,20926.15536651969,0.0,30
dqn,5000057,1187973.0526078283,1284464.4754752002,100,100,100.0,0.0,14925.690323446153,21.764910769230767,26
