episode,reward,revenue
1,16506.241083478235,16590.997035352597
2,16531.019470298234,16811.48197188065
3,6308.440078623244,13846.233802655244
4,16210.772163056965,16695.944328510614
5,16152.064087164072,16133.771866548603
6,16951.68653492763,16923.47552091427
7,17022.362765747795,16946.59651769224
8,18969.577128356064,18741.263677273826
9,18740.073825544107,18308.297140582632
10,10107.12286406706,11701.420872886369
11,12348.510622590471,13248.157453316962
12,10653.467250417678,12289.010724089212
13,18332.775581100497,18154.8537360246
14,5023.980645367124,13763.33242061713
15,2206.9755047271174,10562.178520805383
16,12856.100587112207,13689.652870143878
17,20676.45780153478,20169.45858304049
18,10578.63749919961,13818.829591162774
19,16985.758851647686,17008.385404482968
20,12016.466239773732,13267.72207462316
21,14569.34897845937,15841.530105424861
22,10662.035540596831,11985.404018885696
23,15476.977755117996,15782.171365680333
24,5206.867113055588,12593.360921229896
25,13324.739298444232,14067.60525804185
26,-7964.5084125909925,6869.758254075677
27,10602.458875866543,11979.099333946688
28,8358.612715558322,10422.721734673536
29,11900.516694752694,12880.969580703933
30,13663.32099141496,14317.697511662853
31,-9304.858515464155,6110.141484535845
32,21771.770178570903,21237.245624219457
33,13488.705390045148,14245.586003639204
34,10315.71620559377,11834.079786527413
35,15147.345383043352,15571.594632673789
36,13603.128472051383,16780.396900206277
37,10579.911636314062,13876.621926613396
38,-10828.536276799998,5609.2637232
39,19918.833879449565,19720.59914643506
40,2366.029216923398,12206.338936912325
41,15269.227213094726,15548.578640146317
42,-4734.418084927884,8873.181915072117
43,19852.917670649393,19505.07976610924
44,18124.5433799935,17928.296172871902
45,18359.80699231289,18419.35316120799
46,12765.754650110679,13568.911366428198
47,7738.95625705336,10115.224329007619
48,11414.498545006625,12611.743234374282
49,-777.5751289977416,10414.450672002258
50,14339.60814003328,14792.42534100463
51,11141.36176533457,12422.799893717318
52,11495.155178456815,12718.774742096299
53,14205.938170129084,14715.007144507572
54,13213.153092168406,13836.086098828508
55,5949.3710548211575,8909.357605483317
56,15593.26559697886,15823.0150158851
57,19423.52431881274,19095.56235467747
58,12139.627256478561,16769.352839615025
59,-2202.710705012767,10202.889294987232
60,7654.760822830933,13606.822568948985
61,19484.2245227574,20209.20849547566
62,12715.319028903881,13696.420683738614
63,-10506.747910894503,4901.164771772162
64,6432.073630415251,9360.21872067189
65,3835.5500419048585,12194.839117946149
66,16466.419530132338,17707.361598545438
67,9546.159376829104,11373.16363629698
68,16626.519658235633,16484.29902925622
69,2681.0266827791456,12841.049014532347
70,15145.323015103666,15573.18604600574
71,4554.0997687994695,12142.932785057996
72,3953.3129784796756,11684.552604964249
73,440.38390571986565,10771.302762179523
74,9882.735675438835,11543.098145784257
75,16207.952477398849,17999.360625267553
76,1874.415218146658,11080.649259219983
77,16637.054565315626,16585.768202418658
78,9000.488914643587,11025.076987831733
79,14423.214327319465,17198.665366226593
80,-8588.325010823999,6625.703007175999
81,17642.708984455814,17466.66583361453
82,13012.580012503777,13752.19722353065
83,-5017.0236701800495,8783.056329819949
84,4466.160756747493,13816.401657765096
85,19198.21397225597,19506.88918766157
86,17165.685418213692,18507.05486789806
87,12364.971991797122,15247.87064634073
88,17557.191298305806,17633.611740768094
89,11949.179881022561,13119.39642366198
90,11264.681447627105,12515.104169936732
91,12728.434260963306,13713.539063328522
92,17398.431950264217,18731.35699053202
93,-6051.279474144469,7992.92052585553
94,7135.343445031319,9568.963235872772
95,-547.2246966671628,10388.639184751137
96,17162.49875209174,17160.55268238833
97,6740.194338787776,15264.796431667275
98,1159.682371333096,11685.417016546682
99,19350.353714388482,18939.789672843017
100,14661.385347291838,16351.627367795112
101,5715.601407411819,8713.57824546253
102,14228.271608380488,14603.72556742786
103,11956.168950441213,13322.047898334413
104,10826.589513754618,12155.045591762273
105,2197.044204373029,12375.645836022532
106,11521.22649396352,12649.004792920765
107,9258.695663350332,15189.019974390334
108,13596.312931621564,17474.978807553885
109,8248.554070758924,10472.161280944041
110,16277.137634628752,16454.626238374356
111,10363.578140032461,12015.43937527235
112,8258.615556968723,10394.729409213736
113,19119.312137076864,18727.490489525473
114,12271.98108039582,16082.585646999354
115,19604.908040391278,19134.654587276666
116,7653.74049303783,13590.62242310929
117,15825.80150202891,15977.605945749408
118,7113.991728582846,9647.100888984798
119,10152.520818628833,11636.183752364504
120,12264.430246973969,13317.79208426175
121,17386.781594167074,17369.33111693442
122,14888.658668478709,15299.971358828028
123,14907.4904284585,15109.211391777933
124,15847.963149986172,15939.833339292221
125,7314.180326509489,9855.102570917898
126,11838.069922302438,12854.397224543416
127,15001.652385709483,15184.26913838845
128,10896.341561509713,12185.67709180932
129,22636.91484964404,22149.091156559032
130,19733.03563021982,19521.662770040322
131,16723.243589534075,16807.159964743445
132,14242.052287944913,14797.562696357187
133,13758.702377968148,14317.589214273725
134,13853.36330290446,14469.527232285733
135,9638.557205214234,11274.22733583451
136,19593.125275036735,19165.34775708364
137,17983.866940684813,19291.62251322429
138,15058.43851294877,15415.25169509087
139,16239.875606316149,18490.879757025665
140,6390.938401743884,13897.486283595135
141,8254.93540720585,10367.822973753153
142,17863.043101965315,17644.486430961424
143,15184.093767760725,17158.017923824318
144,12332.809043043058,13435.262282531838
145,15405.25764368849,15718.433914668663
146,8161.005822154222,14964.36987814216
147,3401.1663781942843,13159.65597919429
148,9192.990133612884,11209.164122443506
149,12173.917374081897,13237.944700848317
150,12199.47256170649,16559.601506772855
151,6982.769030803711,13821.464473095271
152,9531.95125923029,11355.163657213598
153,14090.12946127369,16339.730631879473
154,2678.071678195347,12653.974178195345
155,6848.412451916622,9443.986554678417
156,14679.386181486625,15223.197169297748
157,11317.713467571826,12771.91288732552
158,10143.806641145746,16061.206641145745
159,-4045.121023220576,9357.678976779425
160,12604.34171799579,13413.774645297577
161,14229.754362910251,14862.759529748262
162,13330.993419238242,17223.1051138536
163,8712.23637865147,10642.976656143297
164,1727.8339215764736,11111.706950410273
165,11329.156594843711,12587.298690862524
166,14307.224005581817,14640.601115811864
167,15886.50359723199,15956.97234116297
168,8975.693621192928,10789.834292382971
169,15786.960361564752,16160.697301762224
170,17957.0033794312,17731.722504587127
171,16297.17731122321,16921.469319601078
172,11509.769756937858,12780.912639115264
173,6416.463419132421,14137.962609906825
174,18858.95052347176,19339.18280009272
175,15031.271477879507,15380.99133337251
176,8794.610743659547,10845.53828137435
177,8822.246166680812,10819.6687873841
178,-11209.013849856046,5234.986150143954
179,14395.248163021139,14860.640590507013
180,11957.611932730128,16239.68156217013
181,17791.735801954157,18184.982449104533
182,17801.530113658093,17983.179139711898
183,7794.90730930992,10099.031667759018
184,15602.250296945782,15752.09597590082
185,9048.503997837224,11758.409395994559
186,11930.360785545961,13045.067868797973
187,13926.86595511682,14459.936832188261
188,13004.704322720503,17375.77134753507
189,18651.688940267337,18406.31242175842
190,15322.115271448236,15641.373710995666
191,16762.59865621766,16678.469888386484
192,16852.119006751676,16892.341142808946
193,9128.917246549909,15225.554681361442
194,-5734.976474257932,7863.44272574207
195,9605.487107649878,15956.52755931876
196,11244.186288230185,12647.7375207372
197,12392.042050389258,13223.27671413332
198,6205.991315610288,9050.73219796035
199,6277.326413806063,9073.308584083834
200,19100.273555288833,18788.057502515952
201,19116.256404764634,18778.086188824385
202,12835.034972489248,13734.66460444561
203,17010.605719269257,16893.47201196141
204,2849.7365152389466,11906.934671659623
205,8661.535465927915,13783.582471623577
206,10180.394525552403,11832.591700504758
207,9622.546035187721,11665.293522588248
208,-3465.7554564232687,8906.146418576729
209,3336.9850284549048,12865.3433116165
210,14916.287600794416,15385.78609240523
211,14232.234669562018,15037.989973849093
212,12644.890467647032,13499.712759782324
213,-11614.805679554967,4828.2243204450315
214,11548.111967667794,15944.774995492016
215,17569.229058611196,17566.06609455248
216,10668.990357179246,12086.653712157937
217,-7414.28666741918,7601.31333258082
218,-5874.542565634312,8122.887434365687
219,11768.24027353276,12824.909077113542
220,17745.50284637154,17631.874059073405
221,17991.820472145082,17780.717605672457
222,10388.317368691882,11791.468624408168
223,13911.208621365471,14569.869772801749
224,14232.595317819721,15244.734548180939
225,5767.464446242963,8779.358330996714
226,9938.255402156912,11462.353635574978
227,10737.104965230617,15858.203737863609
228,15087.602900881118,15479.779211645167
229,-2400.029919612429,10184.170080387574
230,14586.614829854425,15120.90980188695
231,14396.48767126526,14836.914774756557
232,17556.598194406626,17485.472060720498
233,18673.37040405694,18330.34558555955
234,19112.41264390631,18816.8476333358
235,17902.825216140143,17648.01007970161
236,18455.85150427201,18368.819954010272
237,8286.740013526512,10518.786827764774
238,14524.687564727943,17619.3844845587
239,16061.281356527108,16335.31527707398
240,5280.913658819262,8493.661300088806
241,19254.6955200697,18890.200473894805
242,18174.945280799453,19469.08684660102
243,13265.464374760037,14012.882315117875
244,7786.330002284779,14927.087070604783
245,-7648.468762111999,7010.931237888
